dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,budget_fraction,restricted_precision,full_precision,precision_difference,restricted_recall,full_recall,recall_difference,true_alert_difference,false_alert_difference,alert_intersection,alert_union,alert_jaccard_vs_full,retained_full_alert_fraction
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_region,full,day14__loo_no_region__standard,day14__full__standard,0.3,0.6413276231263383,0.6434689507494646,-0.0021413276231263545,0.46254826254826253,0.4640926640926641,-0.0015444015444015524,-6,6,2674,2930,0.9126279863481229,0.9543183440399714
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,full,day14__minimized__standard,day14__full__standard,0.05,0.7654584221748401,0.8017057569296375,-0.03624733475479747,0.0924066924066924,0.09678249678249679,-0.004375804375804385,-17,17,304,634,0.4794952681388013,0.6481876332622601
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,full,day14__minimized__standard,day14__full__standard,0.1,0.7165775401069518,0.7572192513368984,-0.04064171122994653,0.17245817245817247,0.18223938223938224,-0.009781209781209776,-38,38,645,1225,0.5265306122448979,0.6898395721925134
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,full,day14__minimized__standard,day14__full__standard,0.2,0.6698769395398609,0.6918138041733547,-0.021936864633493758,0.3222651222651223,0.3328185328185328,-0.010553410553410525,-41,41,1386,2352,0.5892857142857143,0.7415730337078652
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,full,day14__minimized__standard,day14__full__standard,0.3,0.6227694503925767,0.6434689507494646,-0.020699500356887945,0.4491634491634492,0.4640926640926641,-0.014929214929214896,-58,58,2188,3416,0.6405152224824356,0.780870806566738
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,full,day14__partial_gender_disability__standard,day14__full__standard,0.05,0.8017057569296375,0.8017057569296375,0.0,0.09678249678249679,0.09678249678249679,0.0,0,0,424,514,0.8249027237354085,0.9040511727078892
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,full,day14__partial_gender_disability__standard,day14__full__standard,0.1,0.758288770053476,0.7572192513368984,0.0010695187165775666,0.1824967824967825,0.18223938223938224,0.00025740025740025874,1,-1,881,989,0.890798786653185,0.9422459893048128
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,full,day14__partial_gender_disability__standard,day14__full__standard,0.2,0.6971642589620117,0.6918138041733547,0.005350454788657033,0.3353925353925354,0.3328185328185328,0.0025740025740025874,10,-10,1773,1965,0.9022900763358779,0.9486356340288925
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,full,day14__partial_gender_disability__standard,day14__full__standard,0.3,0.639186295503212,0.6434689507494646,-0.004282655246252598,0.461003861003861,0.4640926640926641,-0.003088803088803105,-12,12,2679,2925,0.9158974358974359,0.9561027837259101
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,full,day28__minimized__standard,day28__full__standard,0.05,0.8898488120950324,0.8876889848812095,0.002159827213822907,0.10972037283621837,0.10945406125166444,0.00026631158455392434,1,-1,323,603,0.5356550580431177,0.6976241900647948
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,full,day28__minimized__standard,day28__full__standard,0.1,0.8255687973997833,0.8277356446370531,-0.0021668472372697867,0.2029294274300932,0.20346205059920106,-0.0005326231691078487,-2,2,764,1082,0.7060998151571165,0.8277356446370531
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,full,day28__minimized__standard,day28__full__standard,0.2,0.7040650406504065,0.7192411924119241,-0.015176151761517542,0.3459387483355526,0.3533954727030626,-0.007456724367509993,-28,28,1412,2278,0.6198419666374012,0.7653116531165312
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,full,day28__minimized__standard,day28__full__standard,0.3,0.6384671005061461,0.658351409978308,-0.01988430947216191,0.470306258322237,0.48495339547270305,-0.01464713715046606,-55,55,2109,3423,0.6161262050832603,0.762472885032538
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,full,day28__partial_gender_disability__standard,day28__full__standard,0.05,0.8898488120950324,0.8876889848812095,0.002159827213822907,0.10972037283621837,0.10945406125166444,0.00026631158455392434,1,-1,415,511,0.812133072407045,0.896328293736501
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,full,day28__partial_gender_disability__standard,day28__full__standard,0.1,0.8266522210184182,0.8277356446370531,-0.0010834236186348933,0.20319573901464713,0.20346205059920106,-0.00026631158455392434,-1,1,862,984,0.8760162601626016,0.933911159263272
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,full,day28__partial_gender_disability__standard,day28__full__standard,0.2,0.7235772357723578,0.7192411924119241,0.0043360433604336945,0.355525965379494,0.3533954727030626,0.0021304926764313947,8,-8,1705,1985,0.8589420654911839,0.924119241192412
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,full,day28__partial_gender_disability__standard,day28__full__standard,0.3,0.6529284164859002,0.658351409978308,-0.005422993492407824,0.48095872170439413,0.48495339547270305,-0.003994673768308921,-15,15,2586,2946,0.8778004073319755,0.9349240780911063
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_age_band,full,day42__loo_no_age_band__standard,day42__full__standard,0.05,0.9144736842105263,0.9035087719298246,0.010964912280701733,0.11635044642857142,0.11495535714285714,0.0013950892857142877,5,-5,430,482,0.8921161825726142,0.9429824561403509
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_age_band,full,day42__loo_no_age_band__standard,day42__full__standard,0.1,0.8546255506607929,0.8469162995594713,0.00770925110132159,0.21651785714285715,0.21456473214285715,0.001953125,7,-7,878,938,0.9360341151385928,0.9669603524229075
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_age_band,full,day42__loo_no_age_band__standard,day42__full__standard,0.2,0.7410270568746549,0.7404748757592491,0.000552181115405781,0.3744419642857143,0.37416294642857145,0.0002790178571428492,1,-1,1769,1853,0.9546681057744199,0.9768083931529542
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_age_band,full,day42__loo_no_age_band__standard,day42__full__standard,0.3,0.6737849779086893,0.6734167893961709,0.0003681885125184081,0.5106026785714286,0.5103236607142857,0.0002790178571429047,1,-1,2663,2769,0.9617190321415674,0.9804860088365243
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_disability,full,day42__loo_no_disability__standard,day42__full__standard,0.05,0.9057017543859649,0.9035087719298246,0.002192982456140302,0.115234375,0.11495535714285714,0.0002790178571428631,1,-1,429,483,0.8881987577639752,0.9407894736842105
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_disability,full,day42__loo_no_disability__standard,day42__full__standard,0.1,0.8480176211453745,0.8469162995594713,0.0011013215859031478,0.21484375,0.21456473214285715,0.0002790178571428492,1,-1,867,949,0.9135932560590094,0.9548458149779736
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_disability,full,day42__loo_no_disability__standard,day42__full__standard,0.2,0.737161789066814,0.7404748757592491,-0.00331308669243513,0.3724888392857143,0.37416294642857145,-0.0016741071428571508,-6,6,1751,1871,0.9358631747728487,0.9668691330756488
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_disability,full,day42__loo_no_disability__standard,day42__full__standard,0.3,0.6715758468335787,0.6734167893961709,-0.0018409425625921516,0.5089285714285714,0.5103236607142857,-0.0013950892857143016,-5,5,2639,2793,0.9448621553884712,0.9716494845360825
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_gender,full,day42__loo_no_gender__standard,day42__full__standard,0.05,0.918859649122807,0.9035087719298246,0.015350877192982448,0.11690848214285714,0.11495535714285714,0.001953125,7,-7,437,475,0.92,0.9583333333333334
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_gender,full,day42__loo_no_gender__standard,day42__full__standard,0.1,0.8524229074889867,0.8469162995594713,0.005506607929515406,0.21595982142857142,0.21456473214285715,0.0013950892857142738,5,-5,891,925,0.9632432432432433,0.9812775330396476
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_gender,full,day42__loo_no_gender__standard,day42__full__standard,0.2,0.7421314191054665,0.7404748757592491,0.001656543346217454,0.375,0.37416294642857145,0.0008370535714285476,3,-3,1772,1850,0.9578378378378378,0.9784649364991718
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_gender,full,day42__loo_no_gender__standard,day42__full__standard,0.3,0.6730486008836525,0.6734167893961709,-0.0003681885125184081,0.5100446428571429,0.5103236607142857,-0.0002790178571427937,-1,1,2675,2757,0.9702575262966993,0.9849042709867453
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_highest_education,full,day42__loo_no_highest_education__standard,day42__full__standard,0.05,0.9166666666666666,0.9035087719298246,0.013157894736842035,0.11662946428571429,0.11495535714285714,0.0016741071428571508,6,-6,375,537,0.6983240223463687,0.8223684210526315
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_highest_education,full,day42__loo_no_highest_education__standard,day42__full__standard,0.1,0.8403083700440529,0.8469162995594713,-0.0066079295154184425,0.212890625,0.21456473214285715,-0.0016741071428571508,-6,6,785,1031,0.7613967022308439,0.8645374449339207
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_highest_education,full,day42__loo_no_highest_education__standard,day42__full__standard,0.2,0.7410270568746549,0.7404748757592491,0.000552181115405781,0.3744419642857143,0.37416294642857145,0.0002790178571428492,1,-1,1565,2057,0.7608167233835683,0.8641634456101601
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_highest_education,full,day42__loo_no_highest_education__standard,day42__full__standard,0.3,0.6623711340206185,0.6734167893961709,-0.011045655375552355,0.501953125,0.5103236607142857,-0.008370535714285698,-30,30,2386,3046,0.783322390019698,0.8784977908689249
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_imd_band,full,day42__loo_no_imd_band__standard,day42__full__standard,0.05,0.9166666666666666,0.9035087719298246,0.013157894736842035,0.11662946428571429,0.11495535714285714,0.0016741071428571508,6,-6,394,518,0.7606177606177607,0.8640350877192983
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_imd_band,full,day42__loo_no_imd_band__standard,day42__full__standard,0.1,0.8480176211453745,0.8469162995594713,0.0011013215859031478,0.21484375,0.21456473214285715,0.0002790178571428492,1,-1,804,1012,0.7944664031620553,0.8854625550660793
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_imd_band,full,day42__loo_no_imd_band__standard,day42__full__standard,0.2,0.7344008834897846,0.7404748757592491,-0.006073992269464479,0.37109375,0.37416294642857145,-0.0030691964285714524,-11,11,1652,1970,0.8385786802030457,0.9122032026504694
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_imd_band,full,day42__loo_no_imd_band__standard,day42__full__standard,0.3,0.6656848306332842,0.6734167893961709,-0.0077319587628866815,0.5044642857142857,0.5103236607142857,-0.005859375,-21,21,2499,2933,0.8520286396181385,0.9201030927835051
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_region,full,day42__loo_no_region__standard,day42__full__standard,0.05,0.918859649122807,0.9035087719298246,0.015350877192982448,0.11690848214285714,0.11495535714285714,0.001953125,7,-7,425,487,0.8726899383983573,0.9320175438596491
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_region,full,day42__loo_no_region__standard,day42__full__standard,0.1,0.8436123348017621,0.8469162995594713,-0.0033039647577092213,0.21372767857142858,0.21456473214285715,-0.0008370535714285754,-3,3,859,957,0.8975966562173459,0.9460352422907489
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_region,full,day42__loo_no_region__standard,day42__full__standard,0.2,0.7388183324130315,0.7404748757592491,-0.001656543346217565,0.37332589285714285,0.37416294642857145,-0.0008370535714286031,-3,3,1733,1889,0.9174166225516146,0.9569298729983434
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_region,full,day42__loo_no_region__standard,day42__full__standard,0.3,0.6752577319587629,0.6734167893961709,0.0018409425625920406,0.51171875,0.5103236607142857,0.0013950892857143016,5,-5,2621,2811,0.9324083955887584,0.9650220913107511
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,0.05,0.9210526315789473,0.9035087719298246,0.01754385964912275,0.1171875,0.11495535714285714,0.002232142857142863,8,-8,349,563,0.6198934280639432,0.7653508771929824
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,0.1,0.8392070484581498,0.8469162995594713,-0.00770925110132159,0.21261160714285715,0.21456473214285715,-0.001953125,-7,7,739,1077,0.6861652739090065,0.8138766519823789
