dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,metric,restricted,full,difference
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,average_precision,0.7136650096397279,0.7237203553135708,-0.01005534567384292
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,auroc,0.7706228225563604,0.781315028607497,-0.010692206051136632
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,brier,0.1859511481465748,0.18189666440005575,0.004054483746519039
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,full,day56__partial_gender_disability__standard,day56__full__standard,average_precision,0.7230436726240467,0.7237203553135708,-0.000676682689524144
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,full,day56__partial_gender_disability__standard,day56__full__standard,auroc,0.7802045658401088,0.781315028607497,-0.0011104627673882428
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,full,day56__partial_gender_disability__standard,day56__full__standard,brier,0.18233167499938985,0.18189666440005575,0.0004350105993340958
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,full,day70__minimized__standard,day70__full__standard,average_precision,0.7292417850889461,0.7378132033622132,-0.008571418273267128
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,full,day70__minimized__standard,day70__full__standard,auroc,0.7829200394988562,0.7914716052578111,-0.008551565758954882
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,full,day70__minimized__standard,day70__full__standard,brier,0.1761858589983426,0.17302682127509672,0.0031590377232458833
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,full,day70__partial_gender_disability__standard,day70__full__standard,average_precision,0.7369349394555619,0.7378132033622132,-0.0008782639066513553
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,full,day70__partial_gender_disability__standard,day70__full__standard,auroc,0.7909365149805747,0.7914716052578111,-0.0005350902772364163
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,full,day70__partial_gender_disability__standard,day70__full__standard,brier,0.17330371962078667,0.17302682127509672,0.00027689834568994653
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,full,day90__minimized__standard,day90__full__standard,average_precision,0.7257105036229439,0.7321889652243373,-0.006478461601393426
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,full,day90__minimized__standard,day90__full__standard,auroc,0.7861568120903859,0.7926866812373456,-0.006529869146959744
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,full,day90__minimized__standard,day90__full__standard,brier,0.1724454581935457,0.1703788464442281,0.002066611749317604
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,full,day90__partial_gender_disability__standard,day90__full__standard,average_precision,0.7317700172566144,0.7321889652243373,-0.00041894796772290466
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,full,day90__partial_gender_disability__standard,day90__full__standard,auroc,0.7923035826290095,0.7926866812373456,-0.00038309860833618536
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,full,day90__partial_gender_disability__standard,day90__full__standard,brier,0.17063438416849533,0.1703788464442281,0.00025553772426722965
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,average_precision,0.4578708940308863,0.4324340311527223,0.025436862878164046
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,auroc,0.6486066763425254,0.6181712626995646,0.030435413642960873
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,brier,0.21127192581161536,0.21581566626421766,-0.004543740452602307
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,average_precision,0.4614659583248235,0.4324340311527223,0.029031927172101235
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,auroc,0.6345718432510885,0.6181712626995646,0.016400580551523936
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,brier,0.21141491831479997,0.21581566626421766,-0.004400747949417694
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,average_precision,0.48606285709949165,0.4324340311527223,0.053628825946769376
