dataset,subject,outcome,stage,policy,model,grid,analysis_group,config_id,source_prediction_sha256,budget_fraction,alerts,true_alerts,false_alerts,precision,recall,lift,exploratory
oulad,all,future_fail_or_withdrawn,day28,minimized,histgb,standard,main,day28__minimized__standard,c6772637afa7c5d3d320d5790ebbbe1ecd2ed908840eeb278de6316e85854b9c,0.2,1845,1299,546,0.7040650406504065,0.3459387483355526,1.727068732205298,
oulad,all,future_fail_or_withdrawn,day28,minimized,histgb,standard,main,day28__minimized__standard,c6772637afa7c5d3d320d5790ebbbe1ecd2ed908840eeb278de6316e85854b9c,0.3,2766,1766,1000,0.6384671005061461,0.470306258322237,1.5661572470737979,
oulad,all,future_fail_or_withdrawn,day28,partial_gender_disability,histgb,standard,main,day28__partial_gender_disability__standard,0a35ac21ccbc61cc2b0f2bbdb924dc9b5600f4850a8c1027e940477e05496e38,0.05,463,412,51,0.8898488120950324,0.10972037283621837,2.182795581413407,
oulad,all,future_fail_or_withdrawn,day28,partial_gender_disability,histgb,standard,main,day28__partial_gender_disability__standard,0a35ac21ccbc61cc2b0f2bbdb924dc9b5600f4850a8c1027e940477e05496e38,0.1,923,763,160,0.8266522210184182,0.20319573901464713,2.027774595952237,
oulad,all,future_fail_or_withdrawn,day28,partial_gender_disability,histgb,standard,main,day28__partial_gender_disability__standard,0a35ac21ccbc61cc2b0f2bbdb924dc9b5600f4850a8c1027e940477e05496e38,0.2,1845,1335,510,0.7235772357723578,0.355525965379494,1.7749320688945904,
oulad,all,future_fail_or_withdrawn,day28,partial_gender_disability,histgb,standard,main,day28__partial_gender_disability__standard,0a35ac21ccbc61cc2b0f2bbdb924dc9b5600f4850a8c1027e940477e05496e38,0.3,2766,1806,960,0.6529284164859002,0.48095872170439413,1.601630797403895,
oulad,all,future_fail_or_withdrawn,day42,full,histgb,standard,main,day42__full__standard,d228aad69a6059165b275e6dd90e09daa076a3a4ec3452d433c70e760639927e,0.05,456,412,44,0.9035087719298246,0.11495535714285714,2.2789395363408524,
oulad,all,future_fail_or_withdrawn,day42,full,histgb,standard,main,day42__full__standard,d228aad69a6059165b275e6dd90e09daa076a3a4ec3452d433c70e760639927e,0.1,908,769,139,0.8469162995594713,0.21456473214285715,2.1361951305852735,
oulad,all,future_fail_or_withdrawn,day42,full,histgb,standard,main,day42__full__standard,d228aad69a6059165b275e6dd90e09daa076a3a4ec3452d433c70e760639927e,0.2,1811,1341,470,0.7404748757592491,0.37416294642857145,1.8677156464463203,
oulad,all,future_fail_or_withdrawn,day42,full,histgb,standard,main,day42__full__standard,d228aad69a6059165b275e6dd90e09daa076a3a4ec3452d433c70e760639927e,0.3,2716,1829,887,0.6734167893961709,0.5103236607142857,1.6985735982537347,
