dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,budget_fraction,restricted_precision,full_precision,precision_difference,restricted_recall,full_recall,recall_difference,true_alert_difference,false_alert_difference,alert_intersection,alert_union,alert_jaccard_vs_full,retained_full_alert_fraction
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,full,day56__partial_gender_disability__standard,day56__full__standard,0.05,0.9484304932735426,0.9506726457399103,-0.0022421524663677195,0.12368421052631579,0.1239766081871345,-0.000292397660818719,-1,1,411,481,0.8544698544698545,0.92152466367713
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,full,day56__partial_gender_disability__standard,day56__full__standard,0.1,0.902247191011236,0.9,0.0022471910112359383,0.2347953216374269,0.23421052631578948,0.0005847953216374102,2,-2,855,925,0.9243243243243243,0.9606741573033708
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,full,day56__partial_gender_disability__standard,day56__full__standard,0.2,0.7862767154105736,0.7896512935883014,-0.003374578177727794,0.4087719298245614,0.4105263157894737,-0.0017543859649122862,-6,6,1737,1819,0.9549202858713579,0.9769403824521935
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,full,day56__partial_gender_disability__standard,day56__full__standard,0.3,0.6804201050262566,0.6834208552138035,-0.0030007501875468634,0.5304093567251462,0.5327485380116959,-0.002339181286549641,-8,8,2575,2757,0.9339862169024302,0.9658664666166542
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,full,day70__minimized__standard,day70__full__standard,0.05,0.9771689497716894,0.9703196347031964,0.006849315068493067,0.13222119246215633,0.13129440840284215,0.0009267840593141785,3,-3,344,532,0.6466165413533834,0.7853881278538812
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,full,day70__minimized__standard,day70__full__standard,0.1,0.9289805269186713,0.9335624284077892,-0.004581901489117968,0.2505406240345999,0.2517763361136855,-0.0012357120790855713,-4,4,807,939,0.8594249201277955,0.9243986254295533
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,full,day70__minimized__standard,day70__full__standard,0.2,0.7911646586345381,0.7980493402180149,-0.0068846815834767705,0.42601173926475133,0.42971887550200805,-0.003707136237256714,-12,12,1562,1924,0.8118503118503119,0.8961560527825588
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,full,day70__minimized__standard,day70__full__standard,0.3,0.6702412868632708,0.6855610877058598,-0.015319800842588993,0.5406240345999382,0.552981155390794,-0.012357120790855713,-40,40,2201,3021,0.7285666997682887,0.8429720413634623
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,full,day70__partial_gender_disability__standard,day70__full__standard,0.05,0.9726027397260274,0.9703196347031964,0.0022831050228310223,0.13160333642261354,0.13129440840284215,0.00030892801977139284,1,-1,414,462,0.8961038961038961,0.9452054794520548
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,full,day70__partial_gender_disability__standard,day70__full__standard,0.1,0.9312714776632303,0.9335624284077892,-0.002290950744558984,0.2511584800741427,0.2517763361136855,-0.0006178560395427857,-2,2,852,894,0.9530201342281879,0.9759450171821306
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,full,day70__partial_gender_disability__standard,day70__full__standard,0.2,0.7974756167527252,0.7980493402180149,-0.0005737234652897216,0.42940994748223665,0.42971887550200805,-0.00030892801977139284,-1,1,1703,1783,0.9551318003365115,0.9770510613884108
