dataset,subject,outcome,stage,policy,model,grid,analysis_group,config_id,source_prediction_sha256,n,risk_cases,prevalence,average_precision,auroc,brier,exploratory
uci320,mathematics,fail_g3_lt_10,baseline,no_demographic_family,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.4578708940308863,0.6486066763425254,0.21127192581161536,False
uci320,mathematics,fail_g3_lt_10,baseline,no_demographic_family,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.47569333597561336,0.6366618287373005,0.21106922159239358,False
uci320,mathematics,fail_g3_lt_10,baseline,no_sensitive_wellbeing,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.4614659583248235,0.6345718432510885,0.21141491831479997,False
uci320,mathematics,fail_g3_lt_10,baseline,no_sensitive_wellbeing,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.4691487662598537,0.6486502177068214,0.21162764811158408,False
uci320,mathematics,fail_g3_lt_10,baseline,school_observable_only,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.48606285709949165,0.6772714078374455,0.20419672440601755,False
uci320,mathematics,fail_g3_lt_10,baseline,school_observable_only,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.4959583235525886,0.6470391872278667,0.20976976469414801,False
uci320,mathematics,fail_g3_lt_10,baseline,targeted_no_sex,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.42895773449208724,0.6168359941944848,0.21606532282998064,False
uci320,mathematics,fail_g3_lt_10,baseline,targeted_no_sex,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.45663989458350035,0.6357619738751814,0.21289005360694171,False
uci320,mathematics,fail_g3_lt_10,period1,full,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.8247413251271486,0.9060957910014514,0.11855871115967818,False
uci320,mathematics,fail_g3_lt_10,period1,full,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period1__full__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.8339207813276356,0.9127721335268505,0.11396642730723669,False
uci320,mathematics,fail_g3_lt_10,period1,no_demographic_family,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.7953681997180941,0.9051959361393324,0.11869504228485465,False
uci320,mathematics,fail_g3_lt_10,period1,no_demographic_family,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.8206908675826724,0.910711175616836,0.11528168285988849,False
uci320,mathematics,fail_g3_lt_10,period1,no_sensitive_wellbeing,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period1__no_sensitive_wellbeing__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.8299220288257089,0.9119593613933237,0.11517620314503056,False
uci320,mathematics,fail_g3_lt_10,period1,no_sensitive_wellbeing,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period1__no_sensitive_wellbeing__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.8057462848892378,0.9051088534107401,0.1183930770362797,False
