analysis_source,dataset,subject,outcome,stage,model,grid,contrast_name,contrast_id,family_id,tier,replicates,family_stage_count,metric,budget_fraction,family_size,draw_file,draw_key,estimate,pointwise_ci95_low,pointwise_ci95_high,familywise_bonferroni_low,familywise_bonferroni_high,bootstrap_sign_p_two_sided,bonferroni_adjusted_sign_p,familywise_excludes_zero
C14B_frozen,oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,c14b__day90__minimized__standard__minus__day90__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.1,24,draws/task_1152ad78c73405c9b109.npz,c000__precision_difference__0.10,0.009356725146198785,-0.004672897196261738,0.018713450292397682,-0.011693074115064383,0.026577346751120206,0.2631473705258948,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,c14b__day90__minimized__standard__minus__day90__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.2,24,draws/task_1152ad78c73405c9b109.npz,c000__precision_difference__0.20,-0.008196721311475419,-0.01932084309133497,0.005257086157736942,-0.025806451612903267,0.01113694064298911,0.2735452909418116,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,c14b__day90__minimized__standard__minus__day90__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.3,24,draws/task_1152ad78c73405c9b109.npz,c000__precision_difference__0.30,-0.004293520686963315,-0.014849840976268633,0.005066250974279041,-0.020309213027338638,0.01154040826742009,0.35432913417316536,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,c14b__day14__partial_gender_disability__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.05,24,draws/task_fe5191e9abe25d522749.npz,c007__precision_difference__0.05,0.0,-0.019189765458422214,0.019148936170212738,-0.031968836478700656,0.029901308096270784,1.0,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,c14b__day14__partial_gender_disability__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.1,24,draws/task_fe5191e9abe25d522749.npz,c007__precision_difference__0.10,0.0010695187165775666,-0.01067235859124871,0.0128997609547182,-0.01711229946524062,0.01898488940991912,0.8926214757048591,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,c14b__day14__partial_gender_disability__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.2,24,draws/task_fe5191e9abe25d522749.npz,c007__precision_difference__0.20,0.005350454788657033,-0.008025682182985605,0.009071504802561359,-0.012274340483990287,0.01342194622663515,0.9390121975604879,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,c14b__day14__partial_gender_disability__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.3,24,draws/task_fe5191e9abe25d522749.npz,c007__precision_difference__0.30,-0.004282655246252598,-0.01106747590146373,0.0014260376696392822,-0.013581129378127254,0.005004251206650019,0.13197360527894422,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,c14b__day28__partial_gender_disability__standard__minus__day28__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.05,24,draws/task_8f9ad1b8218c3f11a643.npz,c001__precision_difference__0.05,0.002159827213822907,-0.02155172413793105,0.017278617710583144,-0.03239740820734347,0.028113386404065292,0.8790241951609679,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,c14b__day28__partial_gender_disability__standard__minus__day28__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.1,24,draws/task_8f9ad1b8218c3f11a643.npz,c001__precision_difference__0.10,-0.0010834236186348933,-0.010834236186348826,0.014115475853278572,-0.018438177874186557,0.022746791793886913,0.854629074185163,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,c14b__day28__partial_gender_disability__standard__minus__day28__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.2,24,draws/task_8f9ad1b8218c3f11a643.npz,c001__precision_difference__0.20,0.0043360433604336945,-0.0059556036816458295,0.014061654948620883,-0.011783686739796113,0.01940214876564287,0.45670865826834633,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,c14b__day28__partial_gender_disability__standard__minus__day28__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.3,24,draws/task_8f9ad1b8218c3f11a643.npz,c001__precision_difference__0.30,-0.005422993492407824,-0.011585807385952163,0.00397402434451457,-0.015573870101379382,0.008621810956423403,0.3623275344931014,1.0,False
