dataset,subject,stage,target_field,positive_class,model,config_id,threshold_median,threshold_min,threshold_max,evaluation_cohort,n,positive_cases,prevalence,auroc,average_precision,ap_lift_over_prevalence,balanced_accuracy,brier,constant_prevalence_brier
uci697,all,enrollment,Educational special needs,1,histgb,uci697__all__enrollment__educational_special_needs__histgb,0.0010139778020720597,8.678969120890149e-05,0.10916030350440702,all_oof,3630,40,0.011019283746556474,0.5524303621169917,0.014154297663302007,1.284502512944657,0.5071727019498607,0.011178275832117817,0.010897859132269351
uci697,all,semester1,Gender,1,logistic,uci697__all__semester1__gender__logistic,0.37916972322708736,0.32105356089457454,0.4212431670881783,all_oof,3630,1249,0.3440771349862259,0.7736968239017925,0.6544969153280231,1.9021807867419729,0.7007622057326668,0.17710856210065815,0.22568806016589635
uci697,all,semester1,Gender,1,histgb,uci697__all__semester1__gender__histgb,0.3502851193771843,0.29324669513711327,0.4037502003155573,all_oof,3630,1249,0.3440771349862259,0.7725276399195795,0.6563896157559219,1.9076815894267387,0.7002114081017019,0.17760105068297036,0.22568806016589635
uci697,all,semester1,Educational special needs,1,logistic,uci697__all__semester1__educational_special_needs__logistic,0.00670023740707712,0.000492698450964191,0.015709865697401477,all_oof,3630,40,0.011019283746556474,0.6553272980501393,0.020759422857927395,1.8839176243569111,0.5751740947075209,0.011170115571889214,0.010897859132269351
uci697,all,semester1,Educational special needs,1,histgb,uci697__all__semester1__educational_special_needs__histgb,0.000972037273195993,0.00010257539542269224,0.03928319705365391,all_oof,3630,40,0.011019283746556474,0.5682590529247911,0.013958777115788072,1.2667590232577675,0.5111072423398328,0.011236477824717128,0.010897859132269351
uci320,mathematics,baseline,sex,M,logistic,uci320__mathematics__baseline__sex__logistic,0.524354651640311,0.2508756256125452,0.7236712833872974,all_oof,395,187,0.47341772151898737,0.7456807897984369,0.7093175362633537,1.4982910525348914,0.6696575483340189,0.2095661996773633,0.24929338247075786
uci320,mathematics,baseline,sex,M,histgb,uci320__mathematics__baseline__sex__histgb,0.5156176377663764,0.2788680985874051,0.7100737665294572,all_oof,395,187,0.47341772151898737,0.7407702591526122,0.7317721844633172,1.545721993919841,0.6565842245989304,0.21327693212297624,0.24929338247075786
uci320,mathematics,period1,sex,M,logistic,uci320__mathematics__period1__sex__logistic,0.46484588463619614,0.23803773166365855,0.6859141936323785,all_oof,395,187,0.47341772151898737,0.7499228712464007,0.7116739760387679,1.5032685590123707,0.6654154668860551,0.20734704000091644,0.24929338247075786
uci320,mathematics,period1,sex,M,histgb,uci320__mathematics__period1__sex__histgb,0.4982118986477211,0.3109260770876697,0.6725997555133948,all_oof,395,187,0.47341772151898737,0.7526223776223777,0.7142217127947106,1.5086501419995222,0.6557743726861374,0.20973676987417783,0.24929338247075786
uci320,mathematics,period2,sex,M,logistic,uci320__mathematics__period2__sex__logistic,0.4641972779613295,0.21447192727245726,0.7161899596380198,all_oof,395,187,0.47341772151898737,0.7476604278074866,0.7102082638907086,1.5001725360258282,0.6582039284245167,0.20901406788019722,0.24929338247075786
uci320,mathematics,period2,sex,M,histgb,uci320__mathematics__period2__sex__histgb,0.5308352188887964,0.30927521797174734,0.6981661895215441,all_oof,395,187,0.47341772151898737,0.7418500617030028,0.6953649209455623,1.4688189506604123,0.6865101809954751,0.21456722738644707,0.24929338247075786
uci320,portuguese,baseline,sex,M,logistic,uci320__portuguese__baseline__sex__logistic,0.46418813558242633,0.34169767374087134,0.626135404678252,all_oof,649,266,0.4098613251155624,0.7336814621409922,0.6670411928453723,1.627480203596416,0.6432595849938161,0.20636292516792992,0.24187501929007765
uci320,portuguese,baseline,sex,M,histgb,uci320__portuguese__baseline__sex__histgb,0.40293062557794523,0.22479605860716775,0.7633611431187942,all_oof,649,266,0.4098613251155624,0.7198511945660496,0.6570854853696637,1.6031897744545556,0.6629448948742613,0.21750597478472378,0.24187501929007765
uci320,portuguese,period1,sex,M,logistic,uci320__portuguese__period1__sex__logistic,0.39228898797835293,0.35125900435099927,0.5696498754980224,all_oof,649,266,0.4098613251155624,0.7342802175150671,0.6733361182002933,1.6428388748571066,0.6550580105616521,0.20684214766882988,0.24187501929007765
uci320,portuguese,period1,sex,M,histgb,uci320__portuguese__period1__sex__histgb,0.362733108130582,0.1601755623861037,0.7653648499306048,all_oof,649,266,0.4098613251155624,0.7336225681697717,0.683787002976175,1.6683374621486375,0.6563095074500873,0.20917979171156434,0.24187501929007765
uci320,portuguese,period2,sex,M,logistic,uci320__portuguese__period2__sex__logistic,0.385548881769338,0.2596374480180736,0.5687320934369039,all_oof,649,266,0.4098613251155624,0.7336029368460315,0.6726844241645125,1.6412488394089044,0.6638822905828541,0.2071329720051656,0.24187501929007765
uci320,portuguese,period2,sex,M,histgb,uci320__portuguese__period2__sex__histgb,0.4463405672186286,0.1983220150536514,0.5750855228531258,all_oof,649,266,0.4098613251155624,0.7273405445729206,0.6676397789420128,1.6289406636592718,0.6601228920866133,0.2134517942156063,0.24187501929007765
